,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,95.0,37.0,0.43939393606519744,0.11408815893337236,15.635135135135135,0.4442523384397288,6.431754989429947,15.635135135135135,514.0,1157.0,514.0,1.0,6.877268798617113
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,88.0,38.0,0.39682539367598896,0.16733067706861796,9.531645569620252,0.34262943656979594,3.9497100024760194,9.531645569620252,258.0,753.0,258.0,0.0,6.241699867197875
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,76.0,42.0,0.288135590778512,0.1188318226396457,11.821428571428571,0.48136953863348053,4.921119244024821,11.821428571428571,478.0,993.0,478.0,1.0,7.021148036253776
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,84.0,31.0,0.4608695612098299,0.1321839078940415,9.56043956043956,0.3436781214163079,3.961647072742348,9.56043956043956,299.0,870.0,299.0,2.0,6.214942528735632
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,74.0,29.0,0.4368931996418136,0.110160427689668,12.302631578947368,0.3914438084017317,5.077630154939641,12.302631578947368,366.0,935.0,366.0,0.0,6.566844919786096
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,60.0,27.0,0.37931034046769724,0.1318181816184573,12.0,0.3742423675390352,4.949696947015614,12.0,247.0,660.0,247.0,0.0,6.515151515151516
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,33.0,11.0,0.4999999886363639,0.10757946183965902,9.295454545454545,0.43031774319859584,3.8903089154612567,9.295454545454545,176.0,409.0,176.0,0.0,6.400977995110025
7,44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,44.0,14.0,0.5172413703923902,0.15025906696824076,11.028571428571428,0.33160613170825604,4.544071024111874,11.028571428571428,128.0,386.0,128.0,1.0,6.124352331606218
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,88.0,45.0,0.3233082682458025,0.11046511618732133,15.05,0.39368767494288415,6.177475069977154,15.05,474.0,1204.0,474.0,1.0,6.3762458471760795
